recommendation_event_id,session_id,anonymous_id,customer_id,experiment_id,variant,product_id,event_type,event_timestamp
rec_000000001,sess_000000005,anon_000000005,a710d6093cd4fcc25118db94fca740f2,exp_001,treatment,66a5ffd1047bfd6230ac214e03257bae,recommendation_impression,2017-02-04 18:51:57
rec_000000002,sess_000000065,anon_000000065,3d55995a5451ac5f7b9f4dd7d0577b2f,exp_001,treatment,1d38e85c3c89665e3c1d5cc5e6a829d6,recommendation_impression,2017-03-10 18:38:21
rec_000000003,sess_000000068,anon_000000068,e0c162c722b9ee73b89b93199e774b43,exp_001,treatment,37e4c14527273be66b84b8836bba463b,recommendation_impression,2017-02-09 16:27:57
rec_000000004,sess_000000152,anon_000000152,20c34b5bdcca9dc3e5d43d3953e02de0,exp_001,control,96f027a4749058d508f6c1bda657c79d,recommendation_impression,2017-01-26 02:09:12
rec_000000005,sess_000000152,anon_000000152,20c34b5bdcca9dc3e5d43d3953e02de0,exp_001,control,7a2f315c0441e5d437270cdfcb089c43,recommendation_impression,2017-01-26 02:08:43
rec_000000006,sess_000000152,anon_000000152,20c34b5bdcca9dc3e5d43d3953e02de0,exp_001,control,d7f94e8a47066a6a4ddb422718f59531,recommendation_impression,2017-01-26 02:08:16
rec_000000007,sess_000000198,anon_000000198,72d22223828ebe8d8f4529ba06e89871,exp_001,treatment,39678bc6ddb608fa59c306b78f51efe8,recommendation_impression,2017-03-13 11:57:55
rec_000000008,sess_000000198,anon_000000198,72d22223828ebe8d8f4529ba06e89871,exp_001,treatment,1ab21e6620cb6346784529bff0a0c43b,recommendation_impression,2017-03-13 11:47:40
rec_000000009,sess_000000198,anon_000000198,72d22223828ebe8d8f4529ba06e89871,exp_001,treatment,79ccb1aca8fcf379a6ed2412fba0480e,recommendation_impression,2017-03-13 11:50:02
rec_000000010,sess_000000299,anon_000000299,3191517c6289945562bb344f6c6ac41c,exp_001,control,8ae935cab2de3f74f4960de6ee604f90,recommendation_impression,2017-02-23 10:39:45
rec_000000011,sess_000000299,anon_000000299,3191517c6289945562bb344f6c6ac41c,exp_001,control,9cfb1c6f5894c219e96a6ff54ba62cc8,recommendation_impression,2017-02-23 10:34:14
rec_000000012,sess_000000299,anon_000000299,3191517c6289945562bb344f6c6ac41c,exp_001,control,2330fe9b304af24209631c7197203c61,recommendation_impression,2017-02-23 10:16:27
rec_000000013,sess_000000335,anon_000000335,578ad9c8acd6e2211e15dc44c5f7c40b,exp_001,control,c3f538a01c95c92ddb8055bcfc6f4bd0,recommendation_impression,2017-03-03 19:31:47
rec_000000014,sess_000000335,anon_000000335,578ad9c8acd6e2211e15dc44c5f7c40b,exp_001,control,47e7d651866159ed3a5fe00d3dbe813d,recommendation_impression,2017-03-03 19:27:02
rec_000000015,sess_000001131,anon_000001131,9678552c6248a9fc2cbd38237a805243,exp_001,treatment,2b24cfb25ee90eaa2ebc34844fba07b9,recommendation_impression,2017-03-14 20:20:14
rec_000000016,sess_000001154,anon_000001154,1c3d7a65ccd05610b467567d6879a2f2,exp_001,treatment,9093f710f0faaffe81ccb9dd1845ac9e,recommendation_impression,2017-01-19 11:00:51
rec_000000017,sess_000001154,anon_000001154,1c3d7a65ccd05610b467567d6879a2f2,exp_001,treatment,f23cdc558b71542ad82b3b7722248ac6,recommendation_impression,2017-01-19 10:58:43
rec_000000018,sess_000001898,anon_000001898,ad587a1071e2eb39139bdf6c7e49d90b,exp_001,treatment,7ee6dbf13ecd5dc58d07fd0fc2eaf49a,recommendation_impression,2017-03-06 22:21:49
rec_000000019,sess_000001898,anon_000001898,ad587a1071e2eb39139bdf6c7e49d90b,exp_001,treatment,7d78cbee891d98c76028e3008a230712,recommendation_impression,2017-03-06 22:25:59
rec_000000020,sess_000001898,anon_000001898,ad587a1071e2eb39139bdf6c7e49d90b,exp_001,treatment,78d622eda7a1b229d04311074b1029aa,recommendation_impression,2017-03-06 22:21:01
rec_000000021,sess_000002077,anon_000002077,b533bfd5e9b9ae57a20ba6fc4bece106,exp_001,treatment,1bcdbe14eef2fb18157a8bb2d05b5605,recommendation_impression,2017-02-13 22:31:47
rec_000000022,sess_000002077,anon_000002077,b533bfd5e9b9ae57a20ba6fc4bece106,exp_001,treatment,f0a5096279c53570c100d835b780956b,recommendation_impression,2017-02-13 22:31:06
rec_000000023,sess_000002077,anon_000002077,b533bfd5e9b9ae57a20ba6fc4bece106,exp_001,treatment,726b4e18f00255e2e63491bcba3f60b8,recommendation_impression,2017-02-13 22:22:51
rec_000000024,sess_000002101,anon_000002101,21e92205c8f91dd6361057d7ebccde96,exp_001,treatment,37198d89720c48e300eb114f54c5c732,recommendation_impression,2017-03-04 00:15:33
rec_000000025,sess_000002101,anon_000002101,21e92205c8f91dd6361057d7ebccde96,exp_001,treatment,80db55ab8514dce76cb6a22d5014b73a,recommendation_impression,2017-03-04 00:15:53
rec_000000026,sess_000002604,anon_000002604,b39772ec1d9fc1994b44e64ecbc1d13f,exp_001,control,530b2adc666f8f1553e3590543920a72,recommendation_impression,2017-02-23 13:53:32
rec_000000027,sess_000002823,anon_000002823,6842592a4cdd735bf3fd43ce522773ef,exp_001,control,1136bf18450b05b755f50b49657c1943,recommendation_impression,2017-01-20 02:50:56
rec_000000028,sess_000002823,anon_000002823,6842592a4cdd735bf3fd43ce522773ef,exp_001,control,e8978d476d166c952ffba0ba4b94097e,recommendation_impression,2017-01-20 02:56:41
rec_000000029,sess_000003010,anon_000003010,acad1895356162bac7a8215bd2ac7406,exp_001,treatment,f3dfe1ebf34697e381de433829e7439b,recommendation_impression,2017-03-09 14:10:26
rec_000000030,sess_000003036,anon_000003036,670e01f4e598fb1ce6e208a2dd0b6a81,exp_001,treatment,8f067bbefef28a44846f69f9727378f5,recommendation_impression,2017-02-13 06:43:20
rec_000000031,sess_000003036,anon_000003036,670e01f4e598fb1ce6e208a2dd0b6a81,exp_001,treatment,1c4e2aab2f3631a70816d1765ced8ea8,recommendation_impression,2017-02-13 06:44:53
rec_000000032,sess_000003211,anon_000003211,0a9b989d01b6dcfb690b128b24ab3221,exp_001,treatment,798e4e153e7141eb95d330765208c63b,recommendation_impression,2017-03-16 14:30:01
rec_000000033,sess_000003277,anon_000003277,827f3496ce3332b3f9ef6b5ea4ea4025,exp_001,control,a963b6b0ba2dd73f51cb8f84855094fc,recommendation_impression,2017-02-12 20:36:39
rec_000000034,sess_000003311,anon_000003311,21e75066ac5c6d2f1e4c16e6a01da500,exp_001,treatment,c765fb286266d05deb16689631d841e1,recommendation_impression,2017-02-22 19:33:29
rec_000000035,sess_000003311,anon_000003311,21e75066ac5c6d2f1e4c16e6a01da500,exp_001,treatment,dd921ea0fc303f89bafabba4aec57744,recommendation_impression,2017-02-22 19:32:30
rec_000000036,sess_000003550,anon_000003550,bca0486d0965ba585f95eca2ef0080b1,exp_001,treatment,fdf37ff6a4ff39ac973343a01c1f91ef,recommendation_impression,2017-02-28 05:15:43
rec_000000037,sess_000003550,anon_000003550,bca0486d0965ba585f95eca2ef0080b1,exp_001,treatment,dd613a687a24acf4cf33e1501c00a7dd,recommendation_impression,2017-02-28 05:12:43
rec_000000038,sess_000003550,anon_000003550,bca0486d0965ba585f95eca2ef0080b1,exp_001,treatment,7af541d714ea3db608971a40b8f507cb,recommendation_impression,2017-02-28 05:27:19
rec_000000039,sess_000003568,anon_000003568,238b72da54e53e4b44ffd8ac27ffe9b7,exp_001,treatment,d678178aa4291cd25a755a90188375c8,recommendation_impression,2017-02-08 09:27:11
rec_000000040,sess_000003568,anon_000003568,238b72da54e53e4b44ffd8ac27ffe9b7,exp_001,treatment,fe6e5de30335f28d5c71820661ce4019,recommendation_impression,2017-02-08 09:28:14
rec_000000041,sess_000003568,anon_000003568,238b72da54e53e4b44ffd8ac27ffe9b7,exp_001,treatment,994ab76f0da3349fffcfe5d598e9babb,recommendation_impression,2017-02-08 09:29:00
rec_000000042,sess_000003595,anon_000003595,45a35262f49c7b1c8e9adc44537713a0,exp_001,treatment,74292882eb4c7736c0fff087e62768f8,recommendation_impression,2017-03-08 09:25:19
rec_000000043,sess_000003595,anon_000003595,45a35262f49c7b1c8e9adc44537713a0,exp_001,treatment,476b6df477189e80a6b8eaaa75b07200,recommendation_impression,2017-03-08 09:25:46
rec_000000044,sess_000003935,anon_000003935,31f86490c762d46b158dcee5e60bad98,exp_001,control,02f8dd9b448d3ec2c73e65a22da1121c,recommendation_impression,2017-02-23 15:53:39
rec_000000045,sess_000003935,anon_000003935,31f86490c762d46b158dcee5e60bad98,exp_001,control,8e01228e1cb067cf324c968542f2f032,recommendation_impression,2017-02-23 15:49:12
rec_000000046,sess_000003992,anon_000003992,af36102025fd8041e660558de504dade,exp_001,treatment,04b2173a311a1fe1a8c90a59c0a0f474,recommendation_impression,2017-01-13 23:24:14
rec_000000047,sess_000003992,anon_000003992,af36102025fd8041e660558de504dade,exp_001,treatment,3061ea0592ecce3a2d477f638b1cd282,recommendation_impression,2017-01-13 23:27:28
rec_000000048,sess_000003992,anon_000003992,af36102025fd8041e660558de504dade,exp_001,treatment,cbe2aa650a14213dce463ed56755e979,recommendation_impression,2017-01-13 23:24:40
rec_000000049,sess_000004082,anon_000004082,4ba8c08de7fa81bb7c3ccbd2918e608f,exp_001,treatment,60a233b2fb18e7982bd7a653c23d5a99,recommendation_impression,2017-02-19 21:18:30
rec_000000050,sess_000004126,anon_000004126,ff8b98236a695505512aa2ea79e17c98,exp_001,control,a067f34727f55a883d84f5b3a5c72255,recommendation_impression,2017-03-11 16:03:03
rec_000000051,sess_000004126,anon_000004126,ff8b98236a695505512aa2ea79e17c98,exp_001,control,ae27a5524edb2c8dc4656c670f458fb7,recommendation_impression,2017-03-11 15:42:38
rec_000000052,sess_000004126,anon_000004126,ff8b98236a695505512aa2ea79e17c98,exp_001,control,15b5c55e291cc54d93c46c9a3c9bb9b2,recommendation_impression,2017-03-11 15:45:39
rec_000000053,sess_000004315,anon_000004315,95c6b87b46833bf235a0e433df10216f,exp_001,control,4c36e30350c41feb82b1a47b0712c9b3,recommendation_impression,2017-02-27 10:46:38
rec_000000054,sess_000004389,anon_000004389,aaa95ce92e51238b17c0bf187bf57b7a,exp_001,control,8c5de6354d95c9a3cd8243bbab60d301,recommendation_impression,2017-03-08 18:20:01
rec_000000055,sess_000004389,anon_000004389,aaa95ce92e51238b17c0bf187bf57b7a,exp_001,control,33e04be09d16fef5a9044ee42eb2f45a,recommendation_impression,2017-03-08 18:11:46
rec_000000056,sess_000004389,anon_000004389,aaa95ce92e51238b17c0bf187bf57b7a,exp_001,control,2c7f01e4f39f8ca21caddb86374d7b4b,recommendation_impression,2017-03-08 18:22:18
rec_000000057,sess_000004500,anon_000004500,d1493ea113e66d929cd7057095b560b9,exp_001,control,6e5505d60c1782977e099a8c0339a7b5,recommendation_impression,2017-03-13 12:47:26
rec_000000058,sess_000004500,anon_000004500,d1493ea113e66d929cd7057095b560b9,exp_001,control,c34e6febc00a74a0eb3decfc3f2f3322,recommendation_impression,2017-03-13 12:47:18
